id,name,sku,price,original_price,stock,image,category,sizes,description,material,origin
u53,Karandi Floral Print Unstitched 3-Piece — Olive,ZX-UNS-0053,4550,8300,35,https://images.unsplash.com/photo-1618932260643-eee4a2f652a6?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover karandi fabric, floral print, cut as a complete 3-piece suit in olive. Genuine surplus yardage held back after the export order was finalised.",Karandi · Floral Print,Pakistan — Export Leftover
l35,Tassel Lace — 6 inch — Teal,ZX-LACE-0095,550,810,39,https://images.unsplash.com/photo-1601924994987-69e26d50dc26?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus tassel lace, 6 inch width, in teal. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Tassel Lace,Pakistan — Export Leftover
l32,Velvet Border Lace — 1.5 inch — Mauve,ZX-LACE-0092,900,1410,12,https://images.unsplash.com/photo-1601924994987-69e26d50dc26?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus velvet border lace, 1.5 inch width, in mauve. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Velvet Border Lace,Pakistan — Export Leftover
u56,Karandi Self-Print Unstitched 3-Piece — Coral,ZX-UNS-0056,3850,6450,21,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover karandi fabric, self-print, cut as a complete 3-piece suit in coral. Genuine surplus yardage held back after the export order was finalised.",Karandi · Self-Print,Pakistan — Export Leftover
l28,Crochet Lace — 1 inch — Turquoise,ZX-LACE-0088,850,1220,69,https://images.unsplash.com/photo-1607083681678-f8492ab959a6?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus crochet lace, 1 inch width, in turquoise. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Crochet Lace,Pakistan — Export Leftover
u50,Chiffon Geometric Print Unstitched 3-Piece — Wine,ZX-UNS-0050,3250,5050,45,https://images.unsplash.com/photo-1591369822096-ffd140ec948f?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover chiffon fabric, geometric print, cut as a complete 3-piece suit in wine. Genuine surplus yardage held back after the export order was finalised.",Chiffon · Geometric Print,Pakistan — Export Leftover
u47,Viscose Block Print Unstitched 2-Piece — Mustard Yellow,ZX-UNS-0047,4050,7850,29,https://images.unsplash.com/photo-1610030469983-98e550d6193c?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover viscose fabric, block print, cut as a complete 2-piece suit in mustard yellow. Genuine surplus yardage held back after the export order was finalised.",Viscose · Block Print,Pakistan — Export Leftover
l24,Tissue Lace — 4 inch — Emerald Green,ZX-LACE-0084,700,1130,57,https://images.unsplash.com/photo-1601924994987-69e26d50dc26?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus tissue lace, 4 inch width, in emerald green. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Tissue Lace,Pakistan — Export Leftover
l29,Chikankari Lace — 6 inch — Lavender,ZX-LACE-0089,650,850,51,https://images.unsplash.com/photo-1615397349754-cfa2066a298e?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus chikankari lace, 6 inch width, in lavender. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Chikankari Lace,Pakistan — Export Leftover
l18,Pearl Lace — 2 inch — Navy Blue,ZX-LACE-0078,900,1180,79,https://images.unsplash.com/photo-1601924994987-69e26d50dc26?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus pearl lace, 2 inch width, in navy blue. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Pearl Lace,Pakistan — Export Leftover
l8,Tissue Lace — 6 inch — Wine,ZX-LACE-0068,500,730,50,https://images.unsplash.com/photo-1607083681678-f8492ab959a6?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus tissue lace, 6 inch width, in wine. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Tissue Lace,Pakistan — Export Leftover
u38,Cambric Digital Print Unstitched 3-Piece — Teal,ZX-UNS-0038,3800,7750,7,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover cambric fabric, digital print, cut as a complete 3-piece suit in teal. Genuine surplus yardage held back after the export order was finalised.",Cambric · Digital Print,Pakistan — Export Leftover
u35,Lawn Embroidered & Printed Unstitched 1-Piece — Charcoal Grey,ZX-UNS-0035,2200,3950,18,https://images.unsplash.com/photo-1517841905240-472988babdf9?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover lawn fabric, embroidered & printed, cut as a complete 1-piece suit in charcoal grey. Genuine surplus yardage held back after the export order was finalised.",Lawn · Embroidered & Printed,Pakistan — Export Leftover
u23,Cambric Dyed Unstitched 3-Piece with Dupatta — Sky Blue,ZX-UNS-0023,4650,6900,17,https://images.unsplash.com/photo-1618932260643-eee4a2f652a6?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover cambric fabric, dyed, cut as a complete 3-piece with dupatta suit in sky blue. Genuine surplus yardage held back after the export order was finalised.",Cambric · Dyed,Pakistan — Export Leftover
l10,Tissue Lace — 3 inch — Coral,ZX-LACE-0070,650,1050,63,https://images.unsplash.com/photo-1601924994987-69e26d50dc26?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus tissue lace, 3 inch width, in coral. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Tissue Lace,Pakistan — Export Leftover
l30,Net Lace — 1.5 inch — Rust,ZX-LACE-0090,550,820,45,https://images.unsplash.com/photo-1607083681678-f8492ab959a6?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus net lace, 1.5 inch width, in rust. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Net Lace,Pakistan — Export Leftover
l40,Gota Lace — 6 inch — Blush Pink,ZX-LACE-0100,900,1220,11,https://images.unsplash.com/photo-1607083681678-f8492ab959a6?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus gota lace, 6 inch width, in blush pink. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Gota Lace,Pakistan — Export Leftover
u22,Silk Embroidered & Printed Unstitched 3-Piece with Dupatta — Ivory,ZX-UNS-0022,5250,10100,15,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover silk fabric, embroidered & printed, cut as a complete 3-piece with dupatta suit in ivory. Genuine surplus yardage held back after the export order was finalised.",Silk · Embroidered & Printed,Pakistan — Export Leftover
u21,Karandi Embroidered & Printed Unstitched 2-Piece — Blush Pink,ZX-UNS-0021,6000,10350,38,https://images.unsplash.com/photo-1594736797933-d0501ba2fe65?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover karandi fabric, embroidered & printed, cut as a complete 2-piece suit in blush pink. Genuine surplus yardage held back after the export order was finalised.",Karandi · Embroidered & Printed,Pakistan — Export Leftover
u4,Lawn Digital Print Unstitched 3-Piece with Dupatta — Olive,ZX-UNS-0004,3550,5350,24,https://images.unsplash.com/photo-1618932260643-eee4a2f652a6?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover lawn fabric, digital print, cut as a complete 3-piece with dupatta suit in olive. Genuine surplus yardage held back after the export order was finalised.",Lawn · Digital Print,Pakistan — Export Leftover
u34,Viscose Printed Unstitched 1-Piece — Plum,ZX-UNS-0034,4850,8450,36,https://images.unsplash.com/photo-1594736797933-d0501ba2fe65?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover viscose fabric, printed, cut as a complete 1-piece suit in plum. Genuine surplus yardage held back after the export order was finalised.",Viscose · Printed,Pakistan — Export Leftover
u25,Chiffon Embroidered Unstitched 1-Piece — Olive,ZX-UNS-0025,2250,3950,20,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover chiffon fabric, embroidered, cut as a complete 1-piece suit in olive. Genuine surplus yardage held back after the export order was finalised.",Chiffon · Embroidered,Pakistan — Export Leftover
u42,Silk Embroidered Unstitched 1-Piece — Beige,ZX-UNS-0042,2750,4350,41,https://images.unsplash.com/photo-1591369822096-ffd140ec948f?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover silk fabric, embroidered, cut as a complete 1-piece suit in beige. Genuine surplus yardage held back after the export order was finalised.",Silk · Embroidered,Pakistan — Export Leftover
l22,Gota Lace — 1 inch — Plum,ZX-LACE-0082,150,270,58,https://images.unsplash.com/photo-1618375569909-3c8616cf7733?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus gota lace, 1 inch width, in plum. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Gota Lace,Pakistan — Export Leftover
l33,Gota Lace — 1.5 inch — Lavender,ZX-LACE-0093,500,740,57,https://images.unsplash.com/photo-1618375569909-3c8616cf7733?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus gota lace, 1.5 inch width, in lavender. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Gota Lace,Pakistan — Export Leftover
u26,Chiffon Embroidered & Printed Unstitched 2-Piece — Plum,ZX-UNS-0026,5450,9400,33,https://images.unsplash.com/photo-1517841905240-472988babdf9?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover chiffon fabric, embroidered & printed, cut as a complete 2-piece suit in plum. Genuine surplus yardage held back after the export order was finalised.",Chiffon · Embroidered & Printed,Pakistan — Export Leftover
u59,Georgette Dyed Unstitched 3-Piece with Dupatta — Teal,ZX-UNS-0059,4600,8600,35,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover georgette fabric, dyed, cut as a complete 3-piece with dupatta suit in teal. Genuine surplus yardage held back after the export order was finalised.",Georgette · Dyed,Pakistan — Export Leftover
u2,Karandi Floral Print Unstitched 1-Piece — Maroon,ZX-UNS-0002,2350,3600,35,https://images.unsplash.com/photo-1610030469983-98e550d6193c?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover karandi fabric, floral print, cut as a complete 1-piece suit in maroon. Genuine surplus yardage held back after the export order was finalised.",Karandi · Floral Print,Pakistan — Export Leftover
l16,Zari Lace — 3 inch — Blush Pink,ZX-LACE-0076,850,1190,43,https://images.unsplash.com/photo-1618375569909-3c8616cf7733?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus zari lace, 3 inch width, in blush pink. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Zari Lace,Pakistan — Export Leftover
l25,Velvet Border Lace — 6 inch — Olive,ZX-LACE-0085,150,270,72,https://images.unsplash.com/photo-1601924994987-69e26d50dc26?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus velvet border lace, 6 inch width, in olive. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Velvet Border Lace,Pakistan — Export Leftover
u51,Cambric Dyed Unstitched 3-Piece — Navy Blue,ZX-UNS-0051,3550,5800,35,https://images.unsplash.com/photo-1517841905240-472988babdf9?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover cambric fabric, dyed, cut as a complete 3-piece suit in navy blue. Genuine surplus yardage held back after the export order was finalised.",Cambric · Dyed,Pakistan — Export Leftover
u18,Organza Digital Print Unstitched 1-Piece — Wine,ZX-UNS-0018,5850,10250,15,https://images.unsplash.com/photo-1594736797933-d0501ba2fe65?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover organza fabric, digital print, cut as a complete 1-piece suit in wine. Genuine surplus yardage held back after the export order was finalised.",Organza · Digital Print,Pakistan — Export Leftover
l27,Chikankari Lace — 4 inch — Mauve,ZX-LACE-0087,850,1320,44,https://images.unsplash.com/photo-1620799139507-2a76f79a2f4d?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus chikankari lace, 4 inch width, in mauve. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Chikankari Lace,Pakistan — Export Leftover
u48,Khaddar Block Print Unstitched 2-Piece — Charcoal Grey,ZX-UNS-0048,4400,6200,24,https://images.unsplash.com/photo-1517841905240-472988babdf9?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover khaddar fabric, block print, cut as a complete 2-piece suit in charcoal grey. Genuine surplus yardage held back after the export order was finalised.",Khaddar · Block Print,Pakistan — Export Leftover
l6,Cutwork Lace — 4 inch — Coral,ZX-LACE-0066,850,1560,70,https://images.unsplash.com/photo-1618375569909-3c8616cf7733?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus cutwork lace, 4 inch width, in coral. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Cutwork Lace,Pakistan — Export Leftover
u28,Karandi Printed Unstitched 3-Piece with Dupatta — Olive,ZX-UNS-0028,2450,3850,15,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover karandi fabric, printed, cut as a complete 3-piece with dupatta suit in olive. Genuine surplus yardage held back after the export order was finalised.",Karandi · Printed,Pakistan — Export Leftover
l5,Net Lace — 1.5 inch — Teal,ZX-LACE-0065,650,1210,66,https://images.unsplash.com/photo-1607083681678-f8492ab959a6?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus net lace, 1.5 inch width, in teal. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Net Lace,Pakistan — Export Leftover
l39,Embroidered Organza Lace — 6 inch — Beige,ZX-LACE-0099,350,510,16,https://images.unsplash.com/photo-1607083681678-f8492ab959a6?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus embroidered organza lace, 6 inch width, in beige. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Embroidered Organza Lace,Pakistan — Export Leftover
l36,Cutwork Lace — 1.5 inch — Olive,ZX-LACE-0096,300,520,33,https://images.unsplash.com/photo-1615397349754-cfa2066a298e?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus cutwork lace, 1.5 inch width, in olive. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Cutwork Lace,Pakistan — Export Leftover
l15,Net Lace — 1.5 inch — Mint,ZX-LACE-0075,150,270,13,https://images.unsplash.com/photo-1601924994987-69e26d50dc26?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus net lace, 1.5 inch width, in mint. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Net Lace,Pakistan — Export Leftover
u30,Organza Embroidered Unstitched 1-Piece — Beige,ZX-UNS-0030,1850,3800,18,https://images.unsplash.com/photo-1594736797933-d0501ba2fe65?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover organza fabric, embroidered, cut as a complete 1-piece suit in beige. Genuine surplus yardage held back after the export order was finalised.",Organza · Embroidered,Pakistan — Export Leftover
u60,Khaddar Embroidered Unstitched 3-Piece — Sky Blue,ZX-UNS-0060,6000,11050,24,https://images.unsplash.com/photo-1618932260643-eee4a2f652a6?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover khaddar fabric, embroidered, cut as a complete 3-piece suit in sky blue. Genuine surplus yardage held back after the export order was finalised.",Khaddar · Embroidered,Pakistan — Export Leftover
u46,Lawn Dyed Unstitched 2-Piece — Coral,ZX-UNS-0046,2600,3700,26,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover lawn fabric, dyed, cut as a complete 2-piece suit in coral. Genuine surplus yardage held back after the export order was finalised.",Lawn · Dyed,Pakistan — Export Leftover
