id,title,description,link,image_link,price,sale_price,availability,brand,condition,gtin,mpn,google_product_category,product_type,color,size,material,gender,age_group,item_group_id
TLW-B001,Block-print Kurta Set,"Hand block-printed cotton kurta and pajama set, breathable for everyday wear.",,#0A0A0A,3200,,in stock,Chinar Kids,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Boys > Kurta,Charcoal,4-5Y,100% Cotton,male,kids,
TLW-B002,Everyday Cotton Dungaree,"Sturdy cotton dungaree built for play, adjustable straps.",,#6E6E6E,2600,,in stock,Bunain,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Boys > Dungaree,Grey,2-3Y,100% Cotton,male,toddler,
TLW-B003,Hand-tied Festive Kurta,"Festive kurta with hand-tied detailing at the collar.",,#0A0A0A,2900,,in stock,Chinar Kids,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Boys > Kurta,Black,6-7Y,Cotton Silk Blend,male,kids,
TLW-B004,Classic Shalwar Kameez,"Traditional two-piece shalwar kameez in breathable lawn.",,#3A3A3A,3400,,in stock,Pehchaan,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Boys > Shalwar Kameez,Slate,8-9Y,Lawn,male,kids,
TLW-B005,Boys Waistcoat Set,"Waistcoat and shirt set for smart-casual occasions.",,#1A1A1A,4200,,in stock,Chinar Kids,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Boys > Waistcoat,Black,4-5Y,Cotton Blend,male,kids,
TLW-B006,Striped Cotton Shirt,"Everyday collared shirt in soft brushed cotton.",,#F5F5F5,2100,,in stock,Bunain,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Boys > Shirt,White,6-7Y,100% Cotton,male,kids,
TLW-G001,Layered Cotton Frock,"A layered cotton frock with soft gathers, easy to move in.",,#8A8A8A,3800,,in stock,Bunain,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Girls > Frock,Dove Grey,4-5Y,100% Cotton,female,kids,
TLW-G002,Cotton Gharara Set,"Cotton gharara set with delicate embroidery detailing.",,#2A2A2A,4600,,in stock,Zainab Kids,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Girls > Gharara,Black,6-7Y,Cotton,female,kids,
TLW-G003,Embroidered Choli Top,"Fitted embroidered choli, pairs with a lehenga skirt.",,#454545,3100,,in stock,Zainab Kids,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Girls > Choli,Charcoal,8-9Y,Silk Blend,female,kids,
TLW-G004,Palazzo Set with Kurti,"Wide-leg palazzo paired with a short kurti top.",,#6E6E6E,3300,,in stock,Bunain,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Girls > Palazzo Set,Grey,10-11Y,Cotton Lawn,female,kids,
TLW-G005,Churidar Kurta Set,"Fitted churidar paired with a knee-length kurta.",,#0A0A0A,3600,,in stock,Pehchaan,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Girls > Churidar Set,Black,12-13Y,Cotton,female,kids,
TLW-G006,Everyday Playsuit,"One-piece cotton playsuit, easy on and off.",,#DADADA,2400,,in stock,Bunain,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Girls > Playsuit,Light Grey,2-3Y,100% Cotton,female,toddler,
TLW-N001,Newborn Muslin Gown,"Soft muslin gown for newborns, envelope neckline for easy changing.",,#F5F5F5,2100,,in stock,Rui & Co,new,,,Apparel & Accessories > Clothing > Baby & Toddler Clothing,Kids > Newborn > Gown,White,0-3M,Muslin,unisex,newborn,
TLW-N002,Soft Muslin Romper,"Breathable muslin romper, popper closures for quick changes.",,#EDEDED,1900,,in stock,Rui & Co,new,,,Apparel & Accessories > Clothing > Baby & Toddler Clothing,Kids > Newborn > Romper,Off White,3-6M,Muslin,unisex,newborn,
TLW-N003,Newborn Cotton Set,"Two-piece cotton set with mitten cuffs to prevent scratching.",,#6E6E6E,1800,,in stock,Rui & Co,new,,,Apparel & Accessories > Clothing > Baby & Toddler Clothing,Kids > Newborn > Set,Grey,0-3M,100% Cotton,unisex,newborn,
TLW-N004,Swaddle Wrap Set,"Set of two soft cotton swaddle wraps.",,#DADADA,1600,,in stock,Rui & Co,new,,,Apparel & Accessories > Clothing > Baby & Toddler Clothing,Kids > Newborn > Swaddle,Light Grey,0-3M,100% Cotton,unisex,newborn,
TLW-O001,Silk Waistcoat Set,"Silk waistcoat and trouser set for weddings and formal occasions.",,#0A0A0A,6200,,in stock,Chinar Kids,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Occasion > Waistcoat Set,Black,4-5Y,Silk,male,kids,
TLW-O002,Embroidered Lehnga Mini,"Hand-embroidered mini lehnga with dupatta, for festive occasions.",,#3A3A3A,8400,,in stock,Zainab Kids,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Occasion > Lehnga,Slate,6-7Y,Silk Organza,female,kids,
TLW-O003,Quilted Winter Sherwani,"Quilted sherwani for cooler months, lined for warmth.",,#1A1A1A,7300,,in stock,Chinar Kids,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Occasion > Sherwani,Black,8-9Y,Velvet,male,kids,
TLW-O004,Organza Party Frock,"Layered organza frock with net underskirt for occasions.",,#F0F0F0,5400,,in stock,Zainab Kids,new,,,Apparel & Accessories > Clothing > Kids' Clothing,Kids > Occasion > Frock,Ivory,4-5Y,Organza,female,kids,
